Year,OIL-GAS (mt CO2),COAL (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,0.06,0,0.06,7272.16,0.008250643550196916
2016-17,0.01,0,0.01,4633.15,0.002158358783980661
2017-18,0.02,0,0.02,6022.35,0.0033209627471003844
2020-21,0.05,0,0.05,7829.77,0.006385883621102535
