Segment,Avg Electric Mileage (km/kWh),Avg Petrol Mileage (km/l),Avg Diesel Mileage (km/l),Avg CNG Mileage (km/kg)
Sedan,6.622516556,18.18181818,20.83333333,29.41176471
SUV,6.535947712,17.24137931,16.39344262,25.64102564
