Year,Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,0,40828.16,0.0
2016-17,0,39534.69,0.0
2017-18,0,41179.84,0.0
2018-19,0,38933.07,0.0
2019-20,0,43002.12,0.0
2020-21,0,39633.77,0.0
2021-22,0,38503.41,0.0
2022-23,0,41579.93,0.0
2023-24,0,38952.37,0.0
2024-25,0,31529.06,0.0
