Year,Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,0,3593.85,0.0
2016-17,0,4361.37,0.0
2017-18,0,8918.53,0.0
2018-19,0,9050.17,0.0
2019-20,0,11087.98,0.0
2020-21,0,10935.46,0.0
2021-22,0,11514.06,0.0
2022-23,0,11709.15,0.0
2023-24,0,8622.2,0.0
2024-25,0,1371.93,0.0
