Year,Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,0,251.88,0.0
2016-17,0,351.67,0.0
2017-18,0,365.39,0.0
2018-19,0,318.92,0.0
2019-20,0,256.72,0.0
2020-21,0,274.63,0.0
2021-22,0,164.03,0.0
2022-23,0,289.32,0.0
2023-24,0,246.61,0.0
2024-25,0,216.24,0.0
