Year,Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,0,1101.96,0.0
2016-17,0,975.8,0.0
2017-18,0,1471.59,0.0
2018-19,0,1183.86,0.0
2019-20,0,1081.02,0.0
2020-21,0,1208.78,0.0
2021-22,0,886.49,0.0
2022-23,0,1051.88,0.0
2023-24,0,875.13,0.0
2024-25,0,740.73,0.0
