Year,Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,0,1298.72,0.0
2016-17,0,1265.6,0.0
2017-18,0,1417.44,0.0
2018-19,0,1400.77,0.0
2019-20,0,1788.7,0.0
2020-21,0,3453.43,0.0
2021-22,0,4163.39,0.0
2022-23,0,4845.74,0.0
2023-24,0,4280.73,0.0
2024-25,0,2650.26,0.0
