Year,Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,0,536.64,0.0
2016-17,0,741.09,0.0
2017-18,0,837.89,0.0
2018-19,0,604.49,0.0
2019-20,0,370.79,0.0
2020-21,0,629.33,0.0
2021-22,0,462.2,0.0
2022-23,0,486.15,0.0
2023-24,0,307.14,0.0
2024-25,0,351.81,0.0
