Year,OIL-GAS (mt CO2),COAL (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2016-17,0.44,0,0.44,15175.37,0.028994350714348315
2017-18,0.73,0,0.73,16791.1,0.04347541256975422
2018-19,0.56,0,0.56,16100.33,0.0347818957748071
2019-20,0.89,0,0.89,17735.28,0.0501824611734351
2020-21,0.32,0,0.32,15551.31,0.020577044634824977
2021-22,0.43,0,0.43,16216.77,0.026515761153423276
2023-24,0.28,0,0.28,15462.73,0.01810805724474268
2024-25,0.4,0,0.4,11173.94,0.03579757900973157
